subset,pv_scale_mode,grid,qe,qp,label,E_kWh,P_kW,g_pp,rho_pct,rho_pv_pct,dispatch_violation,is_pareto,is_frozen
first4,native,3x3,0.9,0.75,E90-P75,90.098,13.329,1.86705373281,29.5160688014,27.6490150686,4.4408920985e-16,False,False
first4,native,3x3,0.9,0.9,E90-P90,90.098,16.487,1.86917624178,29.5181913104,27.6490150686,4.4408920985e-16,False,False
first4,native,5x5,0.25,0.25,E25-P25,3.907,2.099,0.786755338643,28.4357704072,27.6490150686,2.22044604925e-16,True,True
first4,native,5x5,0.25,0.5,E25-P50,3.907,7.938,0.816032044814,28.4650471134,27.6490150686,4.4408920985e-16,True,False
first4,native,5x5,0.25,0.75,E25-P75,3.907,13.329,0.816032044814,28.4650471134,27.6490150686,4.4408920985e-16,False,False
first4,native,5x5,0.25,0.9,E25-P90,3.907,16.487,0.816032044814,28.4650471134,27.6490150686,4.4408920985e-16,False,False
first4,native,5x5,0.25,0.95,E25-P95,3.907,18.279,0.816032044814,28.4650471134,27.6490150686,4.4408920985e-16,False,False
first4,native,5x5,0.5,0.25,E50-P25,23.643,2.099,0.925344611358,28.57435968,27.6490150686,2.22044604925e-16,True,True
first4,native,5x5,0.5,0.5,E50-P50,23.643,7.938,1.51964841639,29.168663485,27.6490150686,4.4408920985e-16,True,False
first4,native,5x5,0.5,0.75,E50-P75,23.643,13.329,1.60065718435,29.249672253,27.6490150686,4.4408920985e-16,True,True
first4,native,5x5,0.5,0.9,E50-P90,23.643,16.487,1.60065718435,29.249672253,27.6490150686,4.4408920985e-16,False,False
first4,native,5x5,0.5,0.95,E50-P95,23.643,18.279,1.60065718435,29.249672253,27.6490150686,4.4408920985e-16,False,False
first4,native,5x5,0.75,0.25,E75-P25,56.692,2.099,0.925344611358,28.57435968,27.6490150686,2.22044604925e-16,False,True
first4,native,5x5,0.75,0.5,E75-P50,56.692,7.938,1.59479025009,29.2438053187,27.6490150686,4.4408920985e-16,True,False
first4,native,5x5,0.75,0.75,E75-P75,56.692,13.329,1.86705373281,29.5160688014,27.6490150686,4.4408920985e-16,True,False
first4,native,5x5,0.75,0.9,E75-P90,56.692,16.487,1.86917624178,29.5181913104,27.6490150686,4.4408920985e-16,True,False
first4,native,5x5,0.75,0.95,E75-P95,56.692,18.279,1.86917624178,29.5181913104,27.6490150686,4.4408920985e-16,False,False
first4,native,5x5,0.9,0.25,E90-P25,90.098,2.099,0.925344611358,28.57435968,27.6490150686,2.22044604925e-16,False,False
first4,native,5x5,0.9,0.5,E90-P50,90.098,7.938,1.59479025009,29.2438053187,27.6490150686,4.4408920985e-16,False,False
first4,native,5x5,0.9,0.75,E90-P75,90.098,13.329,1.86705373281,29.5160688014,27.6490150686,4.4408920985e-16,False,False
first4,native,5x5,0.9,0.9,E90-P90,90.098,16.487,1.86917624178,29.5181913104,27.6490150686,4.4408920985e-16,False,False
first4,native,5x5,0.9,0.95,E90-P95,90.098,18.279,1.86917624178,29.5181913104,27.6490150686,4.4408920985e-16,False,False
first4,native,5x5,0.95,0.25,E95-P25,114.007,2.099,0.925344611358,28.57435968,27.6490150686,2.22044604925e-16,False,False
first4,native,5x5,0.95,0.5,E95-P50,114.007,7.938,1.59479025009,29.2438053187,27.6490150686,4.4408920985e-16,False,False
first4,native,5x5,0.95,0.75,E95-P75,114.007,13.329,1.86705373281,29.5160688014,27.6490150686,4.4408920985e-16,False,False
first4,native,5x5,0.95,0.9,E95-P90,114.007,16.487,1.86917624178,29.5181913104,27.6490150686,4.4408920985e-16,False,False
