subset,pv_scale_mode,pv_scale,complete_active_days,cal_days,hold_days,first_admitted_day,last_admitted_day,cal_ev_kwh,cal_pv_kwh_native,hold_ev_kwh,hold_pv_kwh_native,grid,axis,quantile,value,unit
all9,energy_matched,2.35230295922,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,3x3,P,0.9,38.75,kW
all9,energy_matched,2.35230295922,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,E,0.25,10.759,kWh
all9,energy_matched,2.35230295922,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,E,0.5,70.364,kWh
all9,energy_matched,2.35230295922,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,E,0.75,145.791,kWh
all9,energy_matched,2.35230295922,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,E,0.9,216.697,kWh
all9,energy_matched,2.35230295922,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,E,0.95,262.357,kWh
all9,energy_matched,2.35230295922,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,P,0.25,5.385,kW
all9,energy_matched,2.35230295922,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,P,0.5,19.975,kW
all9,energy_matched,2.35230295922,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,P,0.75,31.542,kW
all9,energy_matched,2.35230295922,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,P,0.9,38.75,kW
all9,energy_matched,2.35230295922,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,P,0.95,42.072,kW
