household,article_aligned,pv_mode,raw_charging_events,generic_valid_events,article_aligned_events,nonpositive_or_missing_energy,energy_gt_64_kwh,active_power_gt_7p4_kw,max_energy_kwh,max_active_avg_kw,max_reconstruction_residual_kwh,pv_rows,pv_missing_raw,pv_negative_raw,pv_above_1p05_kwh_raw,pv_min_raw_kwh,pv_max_raw_kwh,pv_missing_after_article_alignment,active_days,cal_days,hold_days,admitted_energy_kwh,event_mode,pv_scale,grid,k,n_requirements,same_budget_percentile_pct,transferred_loss_pct,local_floor_pct,selection_excess_pp,max_incremental_battery_benefit_pp,pv_only_reduction_pct,n_exact_subsets,best_local_set,frozen_set,descriptive_5pct_state
id01,True,native,153,153,151,0,2,0,66.204,6.89122807018,7.1054273576e-15,52945,0,1,1,-0.6572017773,2.14159104663,0,150,105,45,2804.517,event_window,1,3x3,4,1,55.5555555556,0,0,0,0.906359105046,1.45794649842,126,E50-P50/E50-P75/E50-P90/E75-P50,E50-P50/E75-P50/E75-P75/E90-P50,low_transferred
id02,True,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,256,179,77,7968.785,event_window,1,3x3,4,6,83.3333333333,14.6210882242,1.85939036069,12.7616978635,1.86661911404,0.529552406486,126,E50-P50/E50-P75/E75-P50/E75-P75,E50-P50/E75-P50/E75-P75/E90-P50,selection_excess
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,1,3x3,4,6,71.4285714286,21.2587879674,2.8415513682,18.4172365992,1.19982760269,0.445868996289,126,E50-P50/E50-P75/E75-P50/E75-P75,E50-P50/E75-P50/E75-P75/E90-P50,selection_excess
id04,True,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,3x3,4,4,95.2380952381,0.344616145505,0,0.344616145505,2.9337314871,0.47418877022,126,E50-P50/E50-P75/E75-P50/E75-P75,E50-P50/E75-P50/E75-P75/E90-P50,low_transferred
