subset,pv_scale_mode,pv_scale,complete_active_days,cal_days,hold_days,first_admitted_day,last_admitted_day,cal_ev_kwh,cal_pv_kwh_native,hold_ev_kwh,hold_pv_kwh_native,grid,k,n_requirements,same_budget_percentile_pct,transferred_loss_pct,local_floor_pct,selection_excess_pp,n_exact_subsets,best_local_set,frozen_set,descriptive_5pct_state,max_incremental_battery_benefit_pp
all9,native,1,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,3x3,4,7,95.2380952381,6.81595006514,2.34531488532,4.47063517982,126,E50-P50/E50-P75/E75-P50/E75-P75,E50-P50/E75-P50/E75-P75/E90-P50,selection_excess,2.43465961478
all9,native,1,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,4,10,97.0039525692,62.8230326337,14.5149081469,48.3081244868,12650,E25-P25/E50-P25/E50-P50/E75-P75,E25-P25/E50-P25/E50-P75/E75-P25,representation_budget_limit,2.43465961478
